,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,0.46
1,20,2.0,199,4000,0.28
2,20,0.0,299,6000,0.6
3,20,1.0,399,8000,0.68
4,20,0.0,499,10000,0.48
5,20,0.0,599,12000,0.27
6,20,1.0,699,14000,0.51
7,20,-1.0,799,16000,0.42
8,20,1.0,899,18000,0.72
9,20,-1.0,999,20000,0.47
10,20,0.0,1099,22000,0.58
11,20,3.0,1199,24000,0.63
12,20,-2.0,1299,26000,0.54
13,20,0.0,1399,28000,0.64
14,20,1.0,1499,30000,0.65
15,20,0.0,1599,32000,0.74
16,20,1.0,1699,34000,0.87
17,20,1.0,1799,36000,0.68
18,20,0.0,1899,38000,0.64
19,20,0.0,1999,40000,0.81
20,20,1.0,2099,42000,0.79
21,20,2.0,2199,44000,0.99
22,20,0.0,2299,46000,0.84
23,20,1.0,2399,48000,0.87
24,20,0.0,2499,50000,0.98
25,20,0.0,2599,52000,0.77
26,20,3.0,2699,54000,0.91
27,20,1.0,2799,56000,0.96
28,20,0.0,2899,58000,0.83
29,20,1.0,2999,60000,0.78
30,20,2.0,3099,62000,0.96
31,20,1.0,3199,64000,0.73
32,20,1.0,3299,66000,1.1
33,20,0.0,3399,68000,0.99
34,20,2.0,3499,70000,1.04
35,20,-1.0,3599,72000,0.76
36,20,0.0,3699,74000,0.79
37,20,0.0,3799,76000,0.84
38,20,1.0,3899,78000,0.82
39,20,0.0,3999,80000,0.99
40,20,1.0,4099,82000,0.97
41,20,0.0,4199,84000,0.96
42,20,2.0,4299,86000,0.95
43,20,2.0,4399,88000,1.04
44,20,1.0,4499,90000,1.07
45,20,1.0,4599,92000,0.79
46,20,0.0,4699,94000,1.1
47,20,1.0,4799,96000,1.02
48,20,0.0,4899,98000,1.05
49,20,-1.0,4999,100000,1.0
